"";"gold_approx";"level";"alignment";"bricks_cnt";"health";"exp_progress";"quest_progress"
"1422652801.93072";"около 12 тысяч";"105";"абсолютное добро!";"1000";"322";"8";"37"
"1422654002.34532";"около 12 тысяч";"105";"абсолютное добро!";"1000";"234";"8";"42"
"1422655201.70583";"около 12 тысяч";"105";"абсолютное добро!";"1000";"139";"8";"45"
"1422656402.10311";"около 12 тысяч";"105";"абсолютное добро!";"1000";"48";"8";"48"
"1422657601.45174";"около 12 тысяч";"105";"абсолютное добро!";"1000";"40";"8";"51"
"1422658801.8311";"около 12 тысяч";"105";"абсолютное добро!";"1000";"37";"8";"56"
"1422660002.17513";"около 12 тысяч";"105";"абсолютное добро!";"1000";"250";"8";"58"
"1422661201.50203";"около 13 тысяч";"105";"абсолютное добро!";"1000";"200";"8";"62"
"1422662401.81085";"около 13 тысяч";"105";"абсолютное добро!";"1000";"172";"8";"63"
"1422663602.12272";"около 13 тысяч";"105";"абсолютное добро!";"1000";"49";"8";"66"
"1422664801.44595";"около 13 тысяч";"105";"абсолютное добро!";"1000";"264";"8";"67"
"1422666001.75493";"около 15 тысяч";"105";"абсолютное добро!";"1000";"516";"8";"67"
"1422667202.05906";"около 18 тысяч";"105";"абсолютное добро!";"1000";"516";"8";"67"
"1422668401.35046";"около 7 тысяч";"105";"абсолютное добро!";"1000";"516";"8";"67"
"1422669601.69312";"около 7 тысяч";"105";"абсолютное добро!";"1000";"396";"8";"70"
"1422670802.01529";"около 7 тысяч";"105";"абсолютное добро!";"1000";"344";"8";"75"
"1422672001.33594";"около 8 тысяч";"105";"абсолютное добро!";"1000";"178";"8";"78"
"1422673201.6523";"около 8 тысяч";"105";"абсолютное добро";"1000";"175";"8";"80"
"1422674401.97536";"около 8 тысяч";"105";"абсолютное добро";"1000";"104";"8";"84"
"1422675602.30405";"около 8 тысяч";"105";"абсолютное добро";"1000";"108";"8";"87"
"1422676801.61357";"около 8 тысяч";"105";"абсолютное добро";"1000";"25";"8";"90"
"1422678001.95075";"около 8 тысяч";"105";"абсолютное добро";"1000";"197";"8";"99"
"1422679201.33297";"около 8 тысяч";"105";"абсолютное добро";"1000";"197";"8";"100"
"1422680402.22816";"около 10 тысяч";"105";"абсолютное добро";"1000";"197";"8";"100"
"1422681602.04164";"около 5 тысяч";"105";"абсолютное добро";"1000";"160";"8";"1"
"1422682801.37419";"около 5 тысяч";"105";"абсолютное добро";"1000";"98";"8";"21"
"1422684001.91509";"около 6 тысяч";"105";"абсолютное добро";"1000";"207";"8";"24"
"1422685205.89127";"около 6 тысяч";"105";"абсолютное добро";"1000";"116";"8";"31"
"1422686402.21136";"около 6 тысяч";"105";"абсолютное добро";"1000";"83";"8";"32"
"1422687601.68466";"около 6 тысяч";"105";"абсолютное добро";"1000";"83";"8";"32"
"1422688801.88728";"около 6 тысяч";"105";"абсолютное добро";"1000";"83";"8";"32"
"1422690002.24206";"около 6 тысяч";"105";"абсолютное добро";"1000";"83";"8";"32"
"1422691201.81961";"около 6 тысяч";"105";"абсолютное добро";"1000";"83";"8";"32"
"1422692401.59105";"около 6 тысяч";"105";"абсолютное добро";"1000";"83";"8";"32"
"1422693601.91741";"около 6 тысяч";"105";"абсолютное добро";"1000";"83";"8";"32"
"1422694802.41607";"около 6 тысяч";"105";"абсолютное добро";"1000";"83";"8";"32"
"1422696001.59239";"около 6 тысяч";"105";"абсолютное добро";"1000";"83";"8";"32"
"1422697201.91902";"около 7 тысяч";"105";"абсолютное добро";"1000";"416";"8";"72"
"1422698402.60096";"около 7 тысяч";"105";"абсолютное добро";"1000";"308";"8";"76"
"1422699601.93331";"около 7 тысяч";"105";"абсолютное добро";"1000";"201";"8";"79"
"1422700802.25544";"около 7 тысяч";"105";"абсолютное добро";"1000";"134";"8";"86"
"1422702001.77311";"около 7 тысяч";"105";"абсолютное добро";"1000";"94";"8";"89"
"1422703202.16924";"около 7 тысяч";"105";"абсолютное добро";"1000";"303";"8";"91"
"1422704401.51652";"около 8 тысяч";"105";"абсолютное добро";"1000";"510";"8";"91"
"1422705602.03664";"около 11 тысяч";"105";"абсолютное добро";"1000";"510";"8";"91"
"1422706802.15445";"ни одного";"105";"абсолютное добро";"1000";"471";"8";"91"
"1422708001.51001";"ни одного";"105";"абсолютное добро";"1000";"495";"8";"91"
"1422709201.99171";"около 6 сотен";"105";"абсолютное добро";"1000";"516";"8";"91"
"1422710401.67149";"около 9 тысяч";"105";"абсолютное добро";"1000";"515";"8";"92"
"1422711601.99767";"около 9 тысяч";"105";"абсолютное добро";"1000";"376";"8";"94"
"1422712801.52258";"около 7 тысяч";"105";"абсолютное добро";"1000";"250";"8";"98"
"1422714001.61931";"около 7 тысяч";"105";"абсолютное добро";"1000";"199";"8";"100"
"1422715201.92312";"около 10 тысяч";"105";"абсолютное добро";"1000";"199";"8";"100"
"1422716402.4167";"около 4 тысяч";"105";"абсолютное добро";"1000";"175";"8";"1"
"1422717601.87438";"около 4 тысяч";"105";"абсолютное добро";"1000";"365";"8";"4"
"1422718802.17002";"около 4 тысяч";"105";"абсолютное добро";"1000";"210";"8";"7"
"1422720001.67194";"около 5 тысяч";"105";"абсолютное добро";"1000";"125";"8";"11"
"1422721201.39964";"около 5 тысяч";"105";"абсолютное добро";"1000";"27";"8";"14"
"1422722401.70088";"около 5 тысяч";"105";"абсолютное добро";"1000";"151";"8";"17"
"1422723602.23988";"около 5 тысяч";"105";"абсолютное добро";"1000";"207";"8";"21"
"1422724801.30932";"около 5 тысяч";"105";"абсолютное добро";"1000";"124";"8";"24"
"1422726001.61328";"около 5 тысяч";"105";"абсолютное добро";"1000";"420";"8";"26"
"1422727202.13526";"около 8 тысяч";"105";"абсолютное добро";"1000";"420";"8";"26"
"1422728401.97448";"около 8 тысяч";"105";"абсолютное добро";"1000";"305";"8";"28"
"1422729601.49437";"около 8 тысяч";"105";"абсолютное добро";"1000";"212";"8";"40"
"1422730801.89817";"около 8 тысяч";"105";"абсолютное добро";"1000";"399";"8";"52"
"1422732001.32302";"около 9 тысяч";"105";"абсолютное добро!";"1000";"512";"8";"52"
"1422733201.75684";"около 21 тысяч";"105";"абсолютное добро!";"1000";"323";"9";"52"
"1422734402.14513";"около 21 тысяч";"105";"абсолютное добро!";"1000";"516";"9";"59"
"1422735601.61464";"около 21 тысяч";"105";"абсолютное добро!";"1000";"504";"9";"68"
"1422736802.01877";"около 21 тысяч";"105";"абсолютное добро!";"1000";"504";"9";"76"
"1422738001.82416";"около 21 тысяч";"105";"абсолютное добро";"1000";"442";"9";"81"
"1422739202.15567";"около 21 тысяч";"105";"абсолютное добро";"1000";"325";"9";"90"
"1422740401.53421";"около 21 тысяч";"105";"абсолютное добро";"1000";"230";"9";"92"
"1422741602.17414";"около 21 тысяч";"105";"абсолютное добро";"1000";"149";"9";"96"
"1422742802.11191";"около 21 тысяч";"105";"абсолютное добро";"1000";"72";"9";"100"
"1422744001.4352";"около 4 тысяч";"105";"абсолютное добро";"1000";"54";"12";"100"
"1422745201.78981";"около 4 тысяч";"105";"абсолютное добро";"1000";"412";"12";"100"
"1422746402.14645";"около 4 тысяч";"105";"абсолютное добро";"1000";"482";"12";"3"
"1422747601.44938";"около 4 тысяч";"105";"абсолютное добро";"1000";"293";"12";"7"
"1422748801.78077";"около 4 тысяч";"105";"абсолютное добро";"1000";"380";"12";"16"
"1422750002.08092";"около 5 тысяч";"105";"абсолютное добро";"1000";"254";"12";"22"
"1422751201.39488";"около 5 тысяч";"105";"абсолютное добро!";"1000";"297";"12";"29"
"1422752401.83507";"около 5 тысяч";"105";"абсолютное добро!";"1000";"464";"12";"33"
"1422753602.18814";"около 5 тысяч";"105";"абсолютное добро!";"1000";"339";"12";"38"
"1422754801.5678";"около 5 тысяч";"105";"абсолютное добро!";"1000";"212";"12";"41"
"1422756001.88542";"около 5 тысяч";"105";"абсолютное добро!";"1000";"160";"12";"58"
"1422757202.27111";"около 5 тысяч";"105";"абсолютное добро!";"1000";"103";"12";"62"
"1422758401.58426";"около 5 тысяч";"105";"абсолютное добро!";"1000";"56";"12";"66"
"1422759601.88895";"около 5 тысяч";"105";"абсолютное добро";"1000";"176";"12";"70"
"1422760802.26136";"около 5 тысяч";"105";"абсолютное добро";"1000";"102";"12";"74"
"1422762002.17545";"около 5 тысяч";"105";"абсолютное добро";"1000";"21";"12";"81"
"1422763201.60227";"около 5 тысяч";"105";"абсолютное добро";"1000";"439";"12";"82"
"1422764401.94368";"около 7 тысяч";"105";"абсолютное добро";"1000";"516";"12";"82"
"1422765601.33291";"около 9 тысяч";"105";"абсолютное добро";"1000";"516";"12";"82"
"1422766801.71971";"около 4 тысяч";"105";"абсолютное добро";"1000";"507";"12";"82"
"1422768001.71353";"около 4 тысяч";"105";"абсолютное добро";"1000";"252";"12";"83"
"1422769202.07715";"около 4 тысяч";"105";"абсолютное добро";"1000";"37";"12";"86"
"1422770401.68054";"около 4 тысяч";"105";"абсолютное добро";"1000";"47";"12";"92"
"1422771601.73975";"около 4 тысяч";"105";"абсолютное добро";"1000";"37";"12";"97"
"1422772802.17226";"около 4 тысяч";"105";"абсолютное добро";"1000";"36";"12";"100"
"1422774001.64971";"около 4 тысяч";"105";"абсолютное добро";"1000";"36";"12";"100"
"1422775201.56306";"около 4 тысяч";"105";"абсолютное добро";"1000";"329";"12";"100"
"1422776401.90268";"около 3 тысяч";"105";"абсолютное добро";"1000";"516";"12";"0"
"1422777602.67193";"около 3 тысяч";"105";"абсолютное добро";"1000";"387";"12";"2"
"1422778801.91231";"около 3 тысяч";"105";"абсолютное добро";"1000";"358";"12";"8"
"1422780002.26896";"около 3 тысяч";"105";"абсолютное добро";"1000";"283";"12";"11"
"1422781201.85483";"около 4 тысяч";"105";"абсолютное добро";"1000";"212";"12";"15"
"1422782401.58876";"около 4 тысяч";"105";"абсолютное добро";"1000";"115";"12";"19"
"1422783602.03648";"около 5 тысяч";"105";"абсолютное добро";"1000";"34";"12";"21"
"1422784801.64076";"около 5 тысяч";"105";"абсолютное добро";"1000";"86";"12";"26"
"1422786001.41742";"около 5 тысяч";"105";"абсолютное добро";"1000";"23";"12";"30"
"1422787201.7609";"около 6 тысяч";"105";"абсолютное добро";"1000";"516";"12";"30"
"1422788402.98067";"около 7 тысяч";"105";"абсолютное добро";"1000";"516";"12";"30"
"1422789602.12001";"около 17 сотен";"105";"абсолютное добро";"1000";"516";"12";"30"
"1422790801.89382";"около 2 тысяч";"105";"абсолютное добро";"1000";"368";"12";"33"
"1422792002.32942";"около 2 тысяч";"105";"абсолютное добро";"1000";"281";"12";"37"
"1422793202.51035";"около 2 тысяч";"105";"абсолютное добро";"1000";"183";"12";"45"
"1422794402.02746";"около 2 тысяч";"105";"абсолютное добро";"1000";"113";"12";"49"
"1422795601.62201";"около 4 тысяч";"105";"абсолютное добро";"1000";"200";"12";"51"
"1422796802.26948";"около 4 тысяч";"105";"абсолютное добро";"1000";"341";"12";"53"
"1422798001.6503";"около 4 тысяч";"105";"абсолютное добро";"1000";"231";"12";"56"
"1422799202.22731";"около 4 тысяч";"105";"абсолютное добро";"1000";"133";"12";"61"
"1422800402.00139";"около 4 тысяч";"105";"абсолютное добро";"1000";"294";"12";"65"
"1422801601.35936";"около 4 тысяч";"105";"абсолютное добро";"1000";"172";"12";"68"
"1422802802.01131";"около 6 тысяч";"105";"абсолютное добро";"1000";"348";"12";"70"
"1422804002.18712";"около 6 тысяч";"105";"абсолютное добро";"1000";"276";"12";"74"
"1422805201.59037";"около 8 тысяч";"105";"абсолютное добро";"1000";"276";"12";"74"
"1422806402.21397";"около 9 тысяч";"105";"абсолютное добро";"1000";"253";"12";"76"
"1422807602.30493";"около 10 тысяч";"105";"абсолютное добро";"1000";"149";"12";"80"
"1422808801.65795";"около 10 тысяч";"105";"абсолютное добро";"1000";"484";"12";"83"
"1422810002.30796";"около 10 тысяч";"105";"абсолютное добро";"1000";"437";"12";"87"
"1422811202.33887";"около 10 тысяч";"105";"абсолютное добро";"1000";"305";"12";"90"
"1422812401.7518";"около 10 тысяч";"105";"абсолютное добро";"1000";"139";"12";"93"
"1422813602.43504";"около 10 тысяч";"105";"абсолютное добро";"1000";"144";"12";"97"
"1422814802.12313";"около 10 тысяч";"105";"абсолютное добро";"1000";"193";"12";"99"
"1422816001.51085";"около 6 сотен";"105";"абсолютное добро";"1000";"193";"13";"100"
"1422817202.14957";"около 2 тысяч";"105";"абсолютное добро";"1000";"193";"13";"100"
"1422818402.28788";"около тысячи";"105";"абсолютное добро";"1000";"146";"13";"1"
"1422819601.62281";"около тысячи";"105";"абсолютное добро";"1000";"49";"13";"19"
"1422820801.95834";"около тысячи";"105";"абсолютное добро";"1000";"161";"13";"23"
"1422822002.33184";"около тысячи";"105";"абсолютное добро!";"1000";"479";"13";"24"
"1422823201.70811";"около 4 тысяч";"105";"абсолютное добро!";"1000";"379";"13";"25"
"1422824402.0433";"около 17 тысяч";"105";"абсолютное добро";"1000";"320";"13";"25"
"1422825601.44691";"около 17 тысяч";"105";"абсолютное добро";"1000";"218";"13";"29"
"1422826801.80133";"около 17 тысяч";"105";"абсолютное добро!";"1000";"485";"13";"40"
"1422828002.21129";"около 17 тысяч";"105";"абсолютное добро!";"1000";"353";"13";"44"
"1422829201.57575";"около 17 тысяч";"105";"абсолютное добро!";"1000";"516";"13";"47"
"1422830401.95641";"около 17 тысяч";"105";"абсолютное добро!";"1000";"305";"13";"48"
"1422831602.29813";"около 18 тысяч";"105";"абсолютное добро!";"1000";"176";"13";"52"
"1422832801.67714";"около 18 тысяч";"105";"абсолютное добро!";"1000";"16";"13";"52"
"1422834002.03453";"около 18 тысяч";"105";"абсолютное добро!";"1000";"447";"13";"52"
"1422835201.40393";"около 19 тысяч";"105";"абсолютное добро!";"1000";"516";"13";"52"
"1422836401.72295";"около 22 тысяч";"105";"абсолютное добро!";"1000";"516";"13";"52"
"1422837602.07506";"около 9 тысяч";"105";"абсолютное добро!";"1000";"430";"13";"53"
"1422838801.43926";"около 9 тысяч";"105";"абсолютное добро!";"1000";"296";"13";"56"
"1422840001.77794";"около 9 тысяч";"105";"абсолютное добро!";"1000";"355";"13";"61"
"1422841202.09104";"около 9 тысяч";"105";"абсолютное добро!";"1000";"227";"13";"65"
"1422842401.43865";"около 9 тысяч";"105";"абсолютное добро!";"1000";"31";"13";"67"
"1422843601.77712";"около 9 тысяч";"105";"абсолютное добро!";"1000";"161";"13";"70"
"1422844802.09659";"около 9 тысяч";"105";"абсолютное добро!";"1000";"173";"13";"77"
"1422846001.46559";"около 9 тысяч";"105";"абсолютное добро";"1000";"37";"13";"79"
"1422847201.82395";"около 10 тысяч";"105";"абсолютное добро";"1000";"165";"13";"81"
"1422848402.29411";"около 10 тысяч";"105";"абсолютное добро";"1000";"98";"13";"88"
"1422849601.65621";"около 10 тысяч";"105";"абсолютное добро";"1000";"45";"13";"93"
"1422850802.00657";"около 10 тысяч";"105";"абсолютное добро!";"1000";"456";"13";"96"
"1422852001.88649";"около 11 тысяч";"105";"абсолютное добро!";"1000";"381";"13";"100"
"1422853202.39203";"около 2 тысяч";"105";"абсолютное добро!";"1000";"381";"14";"100"
"1422854401.9293";"около 6 тысяч";"105";"абсолютное добро!";"1000";"381";"14";"100"
"1422855602.28097";"около 4 тысяч";"105";"абсолютное добро!";"1000";"352";"14";"0"
"1422856801.86029";"около 4 тысяч";"105";"абсолютное добро!";"1000";"215";"14";"1"
"1422858001.8946";"около 4 тысяч";"105";"абсолютное добро!";"1000";"199";"14";"2"
"1422859202.2657";"около 4 тысяч";"105";"абсолютное добро!";"1000";"16";"14";"2"
"1422860402.44972";"около 4 тысяч";"105";"абсолютное добро!";"1000";"378";"14";"2"
"1422861601.84778";"около 4 тысяч";"105";"абсолютное добро!";"1000";"468";"14";"2"
"1422862802.21188";"около 4 тысяч";"105";"абсолютное добро!";"1000";"393";"14";"6"
"1422864002.00628";"около 4 тысяч";"105";"абсолютное добро!";"1000";"479";"14";"7"
"1422865201.71753";"около 5 тысяч";"105";"абсолютное добро!";"1000";"283";"14";"7"
"1422866402.2565";"около 5 тысяч";"105";"абсолютное добро!";"1000";"158";"13";"8"
"1422867602.07114";"около 5 тысяч";"105";"абсолютное добро";"1000";"469";"13";"9"
"1422868801.34514";"около 5 тысяч";"105";"абсолютное добро";"1000";"414";"13";"11"
"1422870001.70629";"около 8 тысяч";"105";"абсолютное добро";"1000";"414";"13";"11"
"1422871202.11968";"около 8 тысяч";"105";"абсолютное добро";"1000";"310";"13";"11"
"1422872401.7617";"около 8 тысяч";"105";"абсолютное добро";"1000";"173";"13";"12"
"1422873602.19531";"около 8 тысяч";"105";"абсолютное добро!";"1000";"501";"13";"12"
"1422874802.21656";"около 8 тысяч";"105";"абсолютное добро!";"1000";"417";"13";"13"
"1422876002.30067";"около 8 тысяч";"105";"абсолютное добро!";"1000";"274";"13";"14"
"1422877201.64507";"около 8 тысяч";"105";"абсолютное добро!";"1000";"120";"13";"15"
"1422878402.69385";"около 8 тысяч";"105";"абсолютное добро!";"1000";"494";"13";"16"
"1422879601.79467";"около 9 тысяч";"105";"абсолютное добро!";"1000";"366";"13";"16"
"1422880802.15545";"около 9 тысяч";"105";"абсолютное добро!";"1000";"244";"13";"18"
"1422882001.77586";"около 9 тысяч";"105";"абсолютное добро!";"1000";"124";"13";"19"
"1422883202.0782";"около 9 тысяч";"105";"абсолютное добро!";"1000";"314";"13";"20"
"1422884401.43035";"около 9 тысяч";"105";"абсолютное добро!";"1000";"173";"13";"20"
"1422885606.12026";"около 9 тысяч";"105";"абсолютное добро!";"1000";"110";"13";"21"
"1422886802.31596";"около 9 тысяч";"105";"абсолютное добро!";"1000";"459";"13";"22"
"1422888001.76729";"около 10 тысяч";"105";"абсолютное добро!";"1000";"387";"13";"23"
"1422889202.14727";"около 9 тысяч";"105";"абсолютное добро!";"1000";"120";"13";"23"
"1422890402.13258";"около 9 тысяч";"105";"абсолютное добро!";"1000";"175";"13";"23"
"1422891601.56337";"около 9 тысяч";"105";"абсолютное добро!";"1000";"504";"13";"23"
"1422892802.50165";"около 11 тысяч";"105";"абсолютное добро!";"1000";"516";"13";"23"
"1422894002.61711";"около 13 тысяч";"105";"абсолютное добро!";"1000";"516";"13";"23"
"1422895202.79825";"около 6 тысяч";"105";"абсолютное добро!";"1000";"510";"13";"23"
"1422896402.43608";"около 6 тысяч";"105";"абсолютное добро!";"1000";"475";"13";"24"
"1422897602.10111";"около 6 тысяч";"105";"абсолютное добро!";"1000";"432";"13";"25"
"1422898801.46396";"около 6 тысяч";"105";"абсолютное добро!";"1000";"344";"13";"25"
"1422900002.18909";"около 6 тысяч";"105";"абсолютное добро!";"1000";"203";"13";"28"
"1422901206.47492";"около 6 тысяч";"105";"абсолютное добро!";"1000";"429";"13";"28"
"1422902402.02715";"около 6 тысяч";"105";"абсолютное добро!";"1000";"370";"13";"30"
"1422903601.53459";"около 6 тысяч";"105";"абсолютное добро!";"1000";"252";"13";"30"
"1422904801.71475";"около 7 тысяч";"105";"абсолютное добро!";"1000";"118";"13";"31"
"1422906002.06993";"около 7 тысяч";"105";"абсолютное добро!";"1000";"405";"14";"32"
"1422907201.74828";"около 7 тысяч";"105";"абсолютное добро!";"1000";"292";"14";"32"
"1422908402.18769";"около 7 тысяч";"105";"абсолютное добро!";"1000";"153";"14";"33"
"1422909601.55225";"около 7 тысяч";"105";"абсолютное добро!";"1000";"290";"14";"34"
"1422910801.97853";"около 7 тысяч";"105";"абсолютное добро!";"1000";"172";"14";"35"
"1422912001.39191";"около 7 тысяч";"105";"абсолютное добро!";"1000";"487";"14";"35"
"1422913201.83938";"около 9 тысяч";"105";"абсолютное добро!";"1000";"516";"14";"35"
"1422914402.22845";"около 12 тысяч";"105";"абсолютное добро!";"1000";"516";"14";"35"
"1422915601.59938";"около 7 тысяч";"105";"абсолютное добро!";"1000";"506";"14";"35"
"1422916801.9559";"около 7 тысяч";"105";"абсолютное добро!";"1000";"411";"14";"35"
"1422918002.30219";"около 7 тысяч";"105";"абсолютное добро!";"1000";"322";"14";"40"
"1422919201.64824";"около 7 тысяч";"105";"абсолютное добро!";"1000";"162";"14";"41"
"1422920402.01964";"около 7 тысяч";"105";"абсолютное добро!";"1000";"24";"14";"42"
"1422921601.43366";"около 7 тысяч";"105";"абсолютное добро!";"1000";"124";"14";"43"
"1422922801.84089";"около 8 тысяч";"105";"абсолютное добро!";"1000";"31";"14";"44"
"1422924002.17142";"около 8 тысяч";"105";"абсолютное добро!";"1000";"166";"14";"45"
"1422925201.52157";"около 8 тысяч";"105";"абсолютное добро!";"1000";"91";"14";"45"
"1422926401.84457";"около 8 тысяч";"105";"абсолютное добро!";"1000";"212";"14";"46"
"1422927602.2082";"около 8 тысяч";"105";"абсолютное добро!";"1000";"127";"14";"47"
"1422928801.5692";"около 8 тысяч";"105";"абсолютное добро!";"1000";"97";"14";"47"
"1422930001.95788";"около 8 тысяч";"105";"абсолютное добро!";"1000";"67";"14";"48"
"1422931202.37085";"около 8 тысяч";"105";"абсолютное добро!";"1000";"167";"14";"48"
"1422932401.8202";"около 8 тысяч";"105";"абсолютное добро";"1000";"66";"14";"49"
"1422933602.20281";"около 8 тысяч";"105";"абсолютное добро";"1000";"19";"14";"50"
"1422934802.08287";"около 8 тысяч";"105";"абсолютное добро";"1000";"464";"14";"50"
"1422936001.52076";"около 10 тысяч";"105";"абсолютное добро";"1000";"516";"14";"50"
"1422937201.89391";"около 11 тысяч";"105";"абсолютное добро";"1000";"516";"14";"50"
"1422938401.90294";"около 8 тысяч";"105";"абсолютное добро";"1000";"483";"14";"50"
"1422939602.54612";"около 9 тысяч";"105";"абсолютное добро";"1000";"381";"14";"52"
"1422940802.12801";"около 10 тысяч";"105";"абсолютное добро";"1000";"287";"14";"53"
"1422942001.51567";"около 10 тысяч";"105";"абсолютное добро";"1000";"190";"14";"53"
"1422943202.24242";"около 10 тысяч";"105";"абсолютное добро";"1000";"83";"14";"54"
"1422944402.30516";"около 10 тысяч";"105";"абсолютное добро!";"1000";"418";"14";"55"
"1422945601.74269";"около 10 тысяч";"105";"абсолютное добро!";"1000";"470";"14";"56"
"1422946802.4602";"около 10 тысяч";"105";"абсолютное добро!";"1000";"369";"14";"57"
"1422948001.92226";"около 12 тысяч";"105";"абсолютное добро!";"1000";"351";"14";"57"
"1422949203.19722";"около 12 тысяч";"105";"абсолютное добро!";"1000";"285";"14";"58"
"1422950404.48053";"около 12 тысяч";"105";"абсолютное добро!";"1000";"415";"14";"59"
"1422951602.90354";"около 12 тысяч";"105";"абсолютное добро!";"1000";"317";"14";"60"
"1422952802.36515";"около 12 тысяч";"105";"абсолютное добро!";"1000";"415";"14";"61"
"1422954002.19919";"около 12 тысяч";"105";"абсолютное добро";"1000";"329";"14";"62"
"1422955202.38789";"около 12 тысяч";"105";"абсолютное добро";"1000";"395";"14";"62"
"1422956401.79521";"около 12 тысяч";"105";"абсолютное добро";"1000";"312";"14";"63"
"1422957602.57484";"около 12 тысяч";"105";"абсолютное добро!";"1000";"477";"14";"63"
"1422958801.48191";"около 13 тысяч";"105";"абсолютное добро!";"1000";"448";"14";"64"
"1422960001.8512";"около 13 тысяч";"105";"абсолютное добро!";"1000";"391";"14";"65"
"1422961202.29875";"около 13 тысяч";"105";"абсолютное добро!";"1000";"276";"14";"66"
"1422962401.71374";"около 13 тысяч";"105";"абсолютное добро!";"1000";"436";"14";"67"
"1422963602.15632";"около 13 тысяч";"105";"абсолютное добро!";"1000";"332";"14";"70"
"1422964801.77607";"около 13 тысяч";"105";"абсолютное добро!";"1000";"384";"14";"71"
"1422966001.89434";"около 13 тысяч";"105";"абсолютное добро!";"1000";"218";"14";"71"
"1422967202.24201";"около 13 тысяч";"105";"абсолютное добро!";"1000";"86";"14";"72"
"1422968401.95349";"около 13 тысяч";"105";"абсолютное добро!";"1000";"284";"14";"73"
"1422969601.6143";"около 13 тысяч";"105";"абсолютное добро!";"1000";"358";"14";"73"
"1422970802.03462";"около 14 тысяч";"105";"абсолютное добро!";"1000";"255";"14";"74"
"1422972001.78758";"около 14 тысяч";"105";"абсолютное добро!";"1000";"96";"14";"75"
"1422973201.56042";"около 14 тысяч";"105";"абсолютное добро!";"1000";"251";"14";"75"
"1422974401.9615";"около 14 тысяч";"105";"абсолютное добро!";"1000";"516";"14";"75"
"1422975602.53744";"около 16 тысяч";"105";"абсолютное добро!";"1000";"516";"14";"75"
"1422976802.14395";"около 17 тысяч";"105";"абсолютное добро!";"1000";"516";"14";"75"
"1422978001.53746";"около 13 тысяч";"105";"абсолютное добро!";"1000";"500";"14";"75"
"1422979202.12129";"около 13 тысяч";"105";"абсолютное добро!";"1000";"336";"14";"76"
"1422980402.64731";"около 13 тысяч";"105";"абсолютное добро!";"1000";"417";"14";"77"
"1422981601.99785";"около 13 тысяч";"105";"абсолютное добро!";"1000";"252";"14";"78"
"1422982801.62898";"около 13 тысяч";"105";"абсолютное добро!";"1000";"419";"14";"79"
"1422984001.51154";"около 13 тысяч";"105";"абсолютное добро!";"1000";"288";"14";"79"
"1422985201.91954";"около 13 тысяч";"105";"абсолютное добро!";"1000";"235";"14";"81"
"1422986402.57065";"около 13 тысяч";"105";"абсолютное добро!";"1000";"187";"14";"81"
"1422987601.6263";"около 14 тысяч";"105";"абсолютное добро!";"1000";"68";"14";"82"
"1422988802.08079";"около 14 тысяч";"105";"абсолютное добро!";"1000";"428";"14";"83"
