"";"gold_approx";"level";"alignment";"bricks_cnt";"health";"exp_progress";"quest_progress"
"1422703202.06996";"около 6 сотен";"29";"чистое зло";"598";"38";"81";"50"
"1422704401.41285";"около 6 сотен";"29";"чистое зло";"598";"13";"81";"52"
"1422705601.93926";"около 6 сотен";"29";"чистое зло";"598";"175";"81";"52"
"1422706802.04837";"около тысячи";"29";"чистое зло";"598";"212";"81";"52"
"1422708001.4115";"около 6 сотен";"29";"чистое зло";"598";"59";"81";"53"
"1422709201.8905";"около тысячи";"29";"чистое зло";"598";"20";"82";"57"
"1422710401.57732";"около тысячи";"29";"чистое зло";"598";"24";"82";"62"
"1422711601.89494";"около тысячи";"29";"чистое зло";"598";"115";"82";"62"
"1422712801.41986";"около тысячи";"29";"чистое зло";"598";"151";"82";"63"
"1422714001.52705";"около тысячи";"29";"чистое зло";"598";"89";"82";"67"
"1422715201.81546";"около тысячи";"29";"чистое зло";"598";"46";"82";"74"
